name,I_F_hits,P/GP,shotsBlockedByPlayer,I_F_penaltyMinutes,CAP HIT,VORP
Taro Hirose,1.0,0.0,2.0,2.0,"$850,000",-0.2095
Steven Fogarty,3.0,0.0,0.0,0.0,"$762,500",-0.2095
Andreas Johnsson,7.0,0.23,5.0,6.0,"$800,000",-0.20973
Givani Smith,67.0,0.11,8.0,52.0,"$800,000",-0.20983
James van Riemsdyk,18.0,0.48,20.0,28.0,"$1,000,000",-0.2114
Anton Blidh,18.0,0.0,2.0,4.0,"$775,000",-0.22378
Logan Brown,22.0,0.2,7.0,8.0,"$775,000",-0.22616
David Gust,3.0,0.25,1.0,2.0,"$762,500",-0.2345
Radim Zohorna,7.0,0.1,2.0,0.0,"$775,000",-0.2395
Luke Philp,4.0,0.33,0.0,2.0,"$775,000",-0.24383
John Hayden,4.0,0.29,3.0,7.0,"$775,000",-0.24393
Alex Galchenyuk,10.0,0.0,3.0,4.0,"$775,000",-0.24586
Rasmus Asplund,23.0,0.17,11.0,4.0,"$775,000",-0.25198
Vinnie Hinostroza,1.0,0.42,7.0,6.0,"$775,000",-0.27581
Jonny Brodzinski,9.0,0.12,4.0,8.0,"$762,500",-0.32056
Marian Studenic,1.0,0.0,0.0,0.0,"$775,000",-0.44283
Sheldon Rempal,0.0,0.0,0.0,0.0,"$762,500",-0.5095
Matthew Phillips,0.0,0.0,0.0,2.0,"$775,000",-0.6595
